City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Araouane,ML,18.9048,-3.5265,294.85,9,32,4.08,scattered clouds
321,Naze,JP,28.3667,129.4833,288.66,69,81,8.15,broken clouds
322,South Sioux City,US,42.4739,-96.4136,280.12,49,1,5.66,clear sky
323,Taraza,CO,7.5836,-75.4007,297.69,93,98,0.72,overcast clouds
324,Bandarbeyla,SO,9.4942,50.8122,297.82,77,3,9.71,clear sky
325,Csurgo,HU,46.2531,17.1006,274.94,72,16,4.92,few clouds
326,Cessnock,AU,-32.8333,151.35,295.1,53,27,0.45,scattered clouds
327,Worland,US,44.0169,-107.9554,283.79,66,1,1.79,clear sky
328,Amarante Do Maranhao,BR,-5.5667,-46.7422,296.54,93,99,0.12,light rain
329,Bethanien,NA,-26.502,17.1583,294.88,23,12,2.32,few clouds
330,Nantucket,US,41.2835,-70.0995,279.89,54,1,5.66,clear sky
331,Koulikoro,ML,14.0,-7.75,295.83,11,31,3.18,scattered clouds
332,Sioux Lookout,CA,50.1001,-91.917,274.36,74,40,2.06,scattered clouds
333,Teguise,ES,29.0605,-13.564,287.27,82,20,2.57,few clouds
334,Talnakh,RU,69.4865,88.3972,240.98,83,79,0.58,broken clouds
335,Taunggyi,MM,20.7833,97.0333,287.12,84,40,0.83,scattered clouds
336,Magnolia,US,33.2671,-93.2393,286.97,54,0,1.77,clear sky
337,Vestmannaeyjar,IS,63.4427,-20.2734,279.73,70,99,9.22,light rain
338,Hirara,JP,24.8,125.2833,293.3,83,75,8.75,broken clouds
339,Hailar,CN,49.2,119.7,260.6,83,100,5.69,overcast clouds
340,Adrar,MR,20.5022,-10.0711,292.79,16,43,4.79,scattered clouds
341,Northam,GB,51.0333,-4.2167,285.38,92,82,9.99,broken clouds
342,Narsaq,GL,60.9167,-46.05,266.27,79,3,1.41,clear sky
343,Mayumba,GA,-3.432,10.6554,297.78,90,92,0.53,overcast clouds
344,Aleksinac,RS,43.5417,21.7078,274.57,99,100,1.56,light snow
345,Hastings,GB,50.8552,0.5729,285.36,83,80,8.32,broken clouds
